label,language,cleanedtweet
2.0,Portuguese,im say thought btw right
1.6,Portuguese,c talent clad
3.6,Portuguese,beauti love
2.2,Portuguese,fod beauti
1.0,Portuguese,exact much doubt last releas tlou look jog car
3.2,Portuguese,self esteem fic vari week day sin beauti sint
2.2,Portuguese,buy special book person great want lid kind
3.2,Portuguese,follow viv ca kkkkkkk sarah situat difficult
2.0,Portuguese,unhappyseenoevilmonkey
1.5,Portuguese,alasca
2.6,Portuguese,public fot http
3.2,Portuguese,pass quiet bad time god bigger problem raisinghandslightskintonesparkl
1.666666667,Portuguese,someon tell yesterday take
2.6,Portuguese,januari   tri find world
4.2,Portuguese,condol hope famili well
3.5,Portuguese,buv buct bud buck bude go mat alt mund aqua
3.2,Portuguese,good morn
2.6,Portuguese,father lie help kkkkkkkkkkkkkkkkk
4.2,Portuguese,beij
2.4,Portuguese,god assist crepuscul
2.2,Portuguese,pitch
2.2,Portuguese,want play ctg xd
1.6,Portuguese,swear cant stand studi
1.5,Portuguese,flop
3.6,Portuguese,happi person take care well
1.5,Portuguese,need one best way need base well edif base http
2.4,Portuguese,hate travi scott perform show 
2.2,Portuguese,yesterday speak teint resist cant ye compr bic mac jant sleepyfac muit difficult mc donald kkkkkj
2.6,Portuguese,let come meat log releas milk someon need
2.5,Portuguese,trait good leav depress
1.0,Portuguese,wors progress
3.6,Portuguese,sister im cattl got tire tri fight contr take mayb get gad real
3.4,Portuguese,look like carla mood
2.8,Portuguese,social distanc lot empti burac 🇧🇷 🇧🇷
1.333333333,Portuguese,vov vacil
1.2,Portuguese,grandmoth 
1.0,Portuguese,forc amad
1.0,Portuguese,watch richthofen movi  found horribl
3.4,Portuguese,gay
1.6,Portuguese,confirm right pel mint chef log http
2.4,Portuguese,nunc vi gur babac one
3.2,Portuguese,dont think im substitut take place never callmehandlightskinton
2.4,Portuguese,weak love deserv time
3.6,Portuguese,dude like hiv type one gent fic sup next dav cim del right nunc perceiv jur vei
3.2,Portuguese,process overcom feel mess  sin littl tud
1.6,Portuguese,defend equal
3.6,Portuguese,seri alreadi love woman http
2.0,Portuguese,cae rev movi th time get decept dm final del  merec
2.0,Portuguese,would cri far
2.0,Portuguese,com mother want book  rea see q amg use tend googl research
3.6,Portuguese,like want one dose love im like libertarian die
2.2,Portuguese,grate everyth independ thing thank foldedhandsmediumlightskintonevictoryhandmediumskinton
1.4,Portuguese,want specif tea wearyfac
1.0,Portuguese,amount begin paid  councilman parliament say inoportun  newsatu http
3.75,Portuguese,       cuzan pqp
1.6,Portuguese,kkkkkkkkkkkkkkkkkkkkkkkkkkkk meme pass two shame time tag
3.8,Portuguese,turn go minh crush insta beauti
1.4,Portuguese,see http
2.6,Portuguese,tent rememb stori littl
2.0,Portuguese,hey father forgiv laugh comment better q outr http
2.4,Portuguese,want train get transport
1.25,Portuguese,lacral merec titl http
