,text,label,language,TextCleaned
0,@liu_xiaoyuan 红外测温仪在室外误差极大。,1.4,Chinese, the infrared thermometer has a huge error outdoors.
1,"@user ok, 你的这些所谓举例有跟你指控间谍罪有直接关系嘛？ 你可以对人/事有意见，但跟有没有证据是两码事。 很坏很可恶的人可能不是间谍， 而受人尊重爱戴的的可能是。全是要看证据， 但可惜不是你口头上随便说的那种。",1.2,Chinese, ok are your socalled examples directly related to your accusation of espionage? you can have an opinion about people/things but having evidence is another matter. a very bad and hateful person may not be a spy but a respected and beloved one may be. it all depends on the evidence but unfortunately it is not the kind you say casually.
2,不滿意&gt; &lt;昨晚糾結了很久 但畫了這麼久也不想棄掉他們 所以還是把劣作放上來 http,1.6,Chinese,dissatisfied last night i struggled for a long time but i didn’t want to discard them after drawing for so long so i still put the bad ones up http
3,《正信摧邪 - 禁止謗佛者造惡業》 末法時期學佛修行的多，除南無羌佛座下解脫成就眾多弟子之外，真正有解脫成就的寥寥無幾？只有學到真正的佛法才能成就！ #南無第三世多杰羌佛 #第三世多杰羌佛 #多杰羌佛 #修行學佛 http,1.2,Chinese,righteous belief and evil  forbid those who slander buddha to create evil karma during the dharmaending period there are many people studying buddhism and practicing buddhism. except for the many disciples who have attained liberation under chang buddha chang buddha there are very few who have truly attained liberation? only by learning the true dharma can we achieve success! 南无三世东杰丹佛 三世佛杰昌佛 多杰昌佛 practice learning buddha http
4,我可以叫你宝宝吗 我看你对我就是这么叫的 http,4.25,Chinese,can i call you baby i see thats what you call me http
5,沒人支援、事情都在我身上 變得有的東西顧不到,2.5,Chinese,no one to support me
6,@user 在對的時間遇上對的人🤧,1.8,Chinese, met the right person at the right time 
7,尋找所有人的匿名問題！ Nick沒有任何問題！ Nick山第一個令人難忘的答案可能是您的問題！ ？ #問題框 #尋找匿名問題 http,1.0,Chinese,find anonymous questions for everyone! nick has no problems! nick hill's first memorable answer could be your question! ? questionbox find anonymous questions http
8,吃了我们家的产奶药 效果棒棒的 http,2.8,Chinese,i took our family's milk production medicine and it works great http
9,@user @user 一张图，其他全靠编,1.4,Chinese,  one picture everything else depends on editing
10,@user 真的超级难，欲哭无泪。,3.25,Chinese, it's really hard i want to cry but have no tears.
11,@user 喜歡～,3.5,Chinese, likes~
12,褲子終於還是磨破了。 #媽媽會罵人 #106聯隊 #106acebeyoung #106sbeyoung ##ntuemba #softball #壘球 @ 迎風河濱棒球場 http,1.8,Chinese,the pants finally frayed. 妈妈会叫人 联队 acebeyoung sbeyoung ntuemba softball 纽球 @ 风风河边球园 http
